label,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions
crypto,1,1,0,14,13950052,1845120,1
crypto,1,1,1,14,17314309,6245622,0
crypto,1,1,1,14,17883489,6546542,0
crypto,1,0,0,14,14725947,12390,0
crypto,1,0,1,14,14230779,24425642,0
crypto,1,1,1,14,12120418,53170,0
crypto,1,1,0,14,17610570,452452456,0
crypto,1,0,1,14,19221917,1027920,0
crypto,1,1,1,14,13938791,2823750,0
crypto,1,0,1,14,15034637,52456222,1
crypto,1,0,1,14,8520821,2562480,0
crypto,1,0,1,14,5955570,54256222,0
crypto,1,1,0,14,8512486,424562,0
crypto,1,1,1,14,483568,2037360,0
crypto,1,1,0,14,4942170,24562454,0
crypto,1,1,0,14,10273203,995960,1
crypto,1,0,0,14,5788535,56245255,1
crypto,1,0,1,14,3483013,566654224,1
crypto,1,0,0,14,8051023,770170,1
crypto,1,0,1,14,3987820,1228840,0
crypto,1,1,1,14,9260233,54566442,0
crypto,1,1,0,14,4575164,456422,0
crypto,1,1,1,14,7926249,10920,0
crypto,1,1,1,14,16144707,907340,1
crypto,1,1,1,14,13911306,978785,1
crypto,1,1,0,14,12088225,8758999,1
crypto,1,0,1,14,3389923,878957,1
crypto,1,1,1,14,10392124,9467864,0
crypto,1,1,1,12,3668503,4887646,1
crypto,1,0,1,12,6125663,1295520,0
crypto,1,0,0,12,19055550,46789679,1
crypto,1,1,1,12,15984964,10124830,0
crypto,1,1,0,12,12803441,97646786,0
crypto,1,1,0,12,8620626,9764677,1
crypto,1,1,1,12,15446773,1106760,1
crypto,1,1,0,12,15835607,9764367,0
crypto,1,1,0,12,9612778,1569250,1
crypto,1,1,1,12,11064676,97644677,1
crypto,1,1,0,12,19051470,1234510,1
crypto,1,1,0,12,9514400,97643377,1
crypto,1,1,1,12,11875176,2938930,1
crypto,1,1,0,12,10565662,97636797,0
crypto,1,1,1,12,6036174,1189270,1
crypto,1,1,1,12,11670492,97643678,0
crypto,1,1,1,12,6137004,9764567,0
crypto,1,1,1,12,15933120,76788748,1
crypto,1,1,1,12,10904673,8879468,1
crypto,1,1,1,12,16408251,7784636,1
crypto,1,1,1,12,7387154,2132770,0
crypto,1,0,1,12,17556447,926830,1
crypto,1,0,0,12,14875310,11315930,1
crypto,1,0,1,12,19152578,7674,1
crypto,1,0,1,12,11031045,49720,1
crypto,1,0,1,12,13633508,2107400,0
crypto,1,1,1,12,16595235,1060,1
crypto,1,0,0,12,13699291,826130,1
crypto,1,1,1,12,11630237,563584,1
crypto,1,1,1,12,14230643,478478,1
crypto,1,1,1,12,16906278,566375,0
crypto,1,1,1,12,10266057,788740,0
crypto,1,1,0,12,14480472,5468468,0
crypto,1,1,0,12,13463270,8784793,1
crypto,1,0,1,12,18295962,667467,1
crypto,1,0,1,12,13945910,452456,1
crypto,1,0,1,12,11231844,73684,0
crypto,1,1,1,12,22099273,4534634,1
crypto,1,1,1,12,10628540,673664,1
crypto,1,0,1,12,19050520,564684,1
crypto,1,1,1,12,23898022,778749,1
crypto,1,0,1,12,15536948,57190,1
crypto,1,1,1,12,17335252,842240,1
crypto,1,1,1,12,11670634,787487,1
crypto,1,1,1,12,11313862,78444,1
crypto,1,1,1,12,10340940,97498,1
crypto,1,1,1,12,12246215,89479,1
crypto,1,1,1,12,12490300,84439,1
crypto,1,1,1,12,16140278,380580,1
crypto,1,1,1,12,9145700,54564,1
crypto,1,1,1,12,16932082,2090,0
crypto,1,1,0,12,23866473,10780,0
crypto,1,1,0,12,14245488,2880,1
crypto,1,1,1,12,16872351,35246,1
crypto,1,1,1,12,22213507,65373,1
crypto,1,1,1,12,15628588,67468,1
crypto,1,1,1,12,19977480,448897,1
crypto,1,1,1,12,16710957,5367940,1
crypto,1,1,0,12,18239331,235840,1
crypto,1,1,0,12,20206890,65388,1
crypto,1,1,0,12,19217199,1450230,1
crypto,1,1,1,12,17954590,558639,1
crypto,1,1,0,12,19563786,798374,1
crypto,1,1,1,12,26980262,869637,1
crypto,1,1,1,12,11755211,7784693,0
crypto,1,1,0,12,13730348,786403,1
crypto,1,1,1,12,16131404,2122890,1
crypto,1,0,0,12,19815306,447747,0
crypto,1,0,1,12,22191774,7984730,0
crypto,1,0,1,12,12871123,677840,0
crypto,1,0,1,12,9884485,31174220,1
crypto,1,0,1,12,10507951,561140,1
crypto,1,0,0,12,13215311,990938,1
crypto,1,0,1,12,15541620,37930,0
crypto,1,0,0,12,11225808,263960,0
crypto,1,1,0,12,14303329,678893,0
crypto,1,1,0,12,20577582,98933,1
crypto,1,1,0,12,15651295,894434,1
crypto,1,1,0,12,13741924,1952160,1
crypto,1,1,0,12,13570838,388479,1
crypto,1,1,0,12,10449730,308984,1
crypto,1,1,0,12,31630411,88943,1
crypto,1,1,0,12,9253579,103170,1
crypto,1,1,0,12,18083973,1134350,1
crypto,1,1,0,12,20718938,976460,1
crypto,1,1,0,12,12860180,299380,1
crypto,1,1,0,12,14503570,94899,1
crypto,1,1,0,12,11631870,78598,1
crypto,1,1,0,12,26829890,3630,0
crypto,1,0,0,12,12602510,44889,1
crypto,1,0,0,12,12413180,937844,0
crypto,1,0,0,12,17948083,566648,0
crypto,1,1,0,12,13102645,55600,0
crypto,1,1,0,12,15107903,15970,1
crypto,1,1,1,12,18012889,556573,0
crypto,1,1,1,12,16304019,784793,0
crypto,1,1,1,12,17732576,8843,0
crypto,1,1,1,12,11716925,78783,1
crypto,1,1,1,12,11387920,890443,1
crypto,1,1,1,12,17434386,887404,1
crypto,1,1,1,12,12332440,757630,1
crypto,1,1,0,12,8611443,187880,1
crypto,1,1,1,12,13920880,2334673,1
crypto,1,1,0,12,10033828,4217720,1
crypto,1,1,1,12,13108570,889343,0
crypto,1,1,0,12,18591881,1117720,0
crypto,1,1,1,12,18151960,898384,0
crypto,1,1,0,12,14417189,7748733,0
crypto,1,1,0,12,11746426,564893,1
crypto,1,1,1,12,17366940,8873004,1
crypto,1,1,1,12,13287471,778340,1
crypto,1,1,0,12,15614822,454780,0
crypto,1,1,0,12,12719359,56546,1
crypto,1,1,1,12,19481673,79934,1
crypto,1,1,1,12,17293062,8984,1
crypto,1,1,1,12,18907449,446388,1
crypto,1,1,1,12,9676948,88945,1
crypto,1,1,0,10,16779610,1148750,1
crypto,1,1,1,10,16264839,219690,1
crypto,1,1,0,10,18734146,4730,1
crypto,1,1,1,10,17303033,2147910,1
crypto,1,1,0,10,13665791,20778740,1
crypto,1,1,0,10,29647232,749730,1
crypto,1,1,0,10,13892495,50630,1
crypto,1,1,0,10,17014472,899034,1
crypto,1,1,0,10,17257881,217050,1
crypto,1,1,0,10,19780490,7784980,1
crypto,1,1,1,10,15509602,547993,1
crypto,1,1,1,10,16177068,16890530,1
crypto,1,1,0,10,14038867,907748,1
crypto,1,1,0,10,12841959,94370,0
crypto,1,1,1,10,17570812,204500,0
crypto,1,1,1,10,10739780,77894,0
crypto,1,1,1,10,11746111,725750,1
crypto,1,1,1,10,8886140,799394,1
crypto,1,1,1,10,16743869,5648933,1
crypto,1,1,0,10,14864116,4015920,1
crypto,1,1,1,10,9774716,198460,1
crypto,1,1,1,10,12244550,6638944,1
crypto,1,1,0,10,17474950,679004,1
crypto,1,1,0,10,12641545,78749,1
crypto,1,1,0,10,9141306,1627466,1
crypto,1,0,0,10,8647785,735590,1
crypto,1,1,0,10,7950118,1663782,1
crypto,1,1,0,10,8178962,817709,1
crypto,1,1,0,10,8571096,120170,1
crypto,1,1,0,10,8683826,14677,1
crypto,1,1,0,10,8450959,1677839,1
crypto,1,1,0,10,8539977,178788,1
crypto,1,0,0,10,9027781,1388799,1
crypto,1,0,0,10,9588052,130987,0
crypto,1,0,0,10,9740328,869160,0
crypto,1,0,0,10,10045997,1387888,1
crypto,1,1,0,10,11846130,43635,1
crypto,1,1,0,10,16813560,673784,1
crypto,1,1,0,10,12477142,76847,1
crypto,1,1,0,10,10627581,766387,1
crypto,1,1,0,10,13036640,765493,1
crypto,1,1,0,10,11133483,73342,1
crypto,1,1,0,10,926055,4325776,0
crypto,1,1,0,10,11988620,11090,1
crypto,1,1,0,10,23742308,7653554,1
crypto,1,1,0,10,8053779,554466,1
crypto,1,1,0,10,7441015,292360,1
crypto,1,1,0,10,8411325,1210,1
crypto,1,1,0,10,7040311,3530,1
crypto,1,1,0,10,26896874,66542,1
crypto,1,1,0,10,15016042,338540,1
crypto,1,1,0,10,6295938,1795310,1
crypto,1,1,0,10,8914979,107960,1
crypto,1,1,0,10,8461136,2040,1
crypto,1,1,0,10,7208595,264555,1
crypto,1,1,0,10,14307520,43920,1
crypto,1,1,0,10,4660690,1530,1
crypto,1,1,0,10,14343654,881950,1
crypto,1,1,0,10,1583321,256654,0
crypto,1,1,0,10,8890512,545774,0
crypto,1,1,0,10,8124437,398760,0
crypto,1,1,0,10,12618502,55472,0
crypto,1,1,0,10,7310598,13980,1
crypto,1,1,0,10,15788157,453663,1
crypto,1,1,0,10,7575404,754463,1
crypto,1,1,0,10,7334811,4543316,1
crypto,1,1,0,10,7370888,6637544,1
crypto,1,1,0,10,8133479,735960,1
crypto,1,1,0,10,19059503,7554224,1
crypto,1,1,1,10,6059372,812270,1
crypto,1,1,1,10,8485145,755446,1
crypto,1,1,0,10,18025483,64645,1
crypto,1,1,1,10,9725184,456662,1
crypto,1,1,1,10,9373225,45645,1
crypto,1,1,0,10,15460815,5677652,1
crypto,1,1,0,10,8544495,432520,0
crypto,1,1,0,10,6907608,6547245,1
crypto,1,1,0,10,8429748,574744,0
crypto,1,1,0,10,28351740,454567,1
crypto,1,1,0,10,6547584,74575,1
crypto,1,1,0,10,5986978,1375030,1
crypto,1,1,0,10,16424236,66763,1
crypto,1,1,0,10,13761647,775835,1
crypto,1,1,0,10,6841754,799973,1
crypto,1,1,0,10,4576726,75393,1
crypto,1,0,0,10,4206749,145346,1
crypto,1,0,0,10,9286912,3582840,1
crypto,1,0,0,10,7942527,773769,1
crypto,1,1,0,10,12455595,66536427,1
crypto,1,1,0,10,4248271,763802,1
crypto,1,1,0,10,9165291,768639,1
crypto,1,1,0,10,4657451,608910,1
crypto,1,1,0,10,7172910,77399,1
crypto,1,1,0,10,23182502,580710,1
crypto,1,1,0,10,8414364,65652,0
crypto,1,0,0,10,11797246,763072,0
crypto,1,1,0,10,8665983,786302,0
crypto,1,1,0,10,7707610,321060,1
crypto,1,1,0,10,8325468,507630,1
crypto,1,1,0,10,5305416,94456951,1
crypto,1,1,0,10,7599463,146070105,1
crypto,1,1,1,10,8793083,124775848,1
crypto,1,1,0,10,6769739,138106585,1
crypto,1,1,0,10,9808087,52552656,1
crypto,1,1,0,10,5797083,24899996,1
crypto,1,0,1,10,9883798,30246847,1
crypto,1,0,1,10,8046392,123279935,1
crypto,1,0,1,10,5909639,97012685,1
crypto,1,0,1,10,6115711,41904828,1
crypto,1,1,0,10,5568662,41631706,1
crypto,1,1,0,10,5568690,2546124,1
crypto,1,1,0,10,5068662,61843096,0
crypto,1,1,1,10,8132688,2947386,0
crypto,1,1,1,10,7646240,3243197,0
crypto,1,0,1,10,7096240,63040716,0
crypto,1,0,1,10,7436240,57375264,1
crypto,1,0,1,10,11021684,66331313,1
crypto,1,1,0,10,6274427,88256715,1
crypto,1,1,1,10,5455115,88884930,1
crypto,1,1,1,10,4305817,38603431,1
crypto,1,1,1,10,4005417,40118644,1
crypto,1,1,0,10,10541913,112228481,1
crypto,1,0,1,10,4839984,28032636,1
crypto,1,0,1,10,16695959,80694601,1
crypto,1,1,0,10,7759384,76894597,0
crypto,1,1,0,10,9583700,121574118,1
crypto,1,1,0,10,6583700,82447627,1
crypto,1,1,0,10,5583760,126764123,0
crypto,1,1,0,10,7958700,129440767,0
crypto,1,1,0,10,5383760,128975285,0
crypto,1,1,0,10,6840609,128646094,1
crypto,1,1,0,10,5665446,32876304,1
crypto,1,1,0,10,4165243,63230064,1
crypto,1,0,1,10,6754566,96657767,1
crypto,1,0,1,10,6152561,126575697,1
crypto,1,0,1,10,3724562,25064531,1
crypto,1,0,1,10,4753566,4827530,1
crypto,1,1,1,10,7372401,36928621,1
crypto,1,1,1,10,4239914,60957885,1
crypto,1,1,0,10,5239004,113968962,1
crypto,1,1,0,10,4230914,12170949,1
crypto,1,1,0,10,4019210,140273184,1
crypto,1,1,0,10,4239912,123594221,1
crypto,1,1,0,10,2198621,23462393,1
crypto,1,1,0,10,5108611,71313437,1
crypto,1,1,0,10,4198626,96694484,0
crypto,1,1,0,10,7147463,26730140,0
crypto,1,1,0,10,4211775,107376073,0
crypto,1,1,0,10,7220490,21537446,0
crypto,1,1,0,10,7100092,96828261,1
crypto,1,1,0,10,5220322,91381134,0
crypto,1,1,0,10,6520032,23147225,0
crypto,1,1,0,10,11541173,19795442,0
crypto,1,1,0,10,7684973,8686076,0
crypto,1,1,0,10,4883418,57556699,1
crypto,1,1,0,10,5437648,8888711,0
crypto,1,1,0,10,9623525,137197226,1
crypto,1,1,1,10,8565102,120667136,1
crypto,1,0,1,10,1281678,140566260,1
crypto,1,0,1,10,4566040,71028785,1
crypto,1,0,1,10,15365415,131747225,1
crypto,1,0,1,10,7136402,14736241,1
crypto,1,0,1,10,7974307,75059200,1
crypto,1,0,0,10,4999629,72285030,1
crypto,1,0,0,10,11348606,12737227,1
crypto,1,1,0,10,10997964,103390869,0
crypto,1,1,0,10,6377264,144137552,0
crypto,1,1,1,10,10443059,96321631,0
crypto,1,1,1,10,8271919,26120958,0
crypto,1,1,1,10,4563894,55234775,0
crypto,1,1,0,10,9894847,115785256,0
crypto,1,1,0,10,6756483,108992687,0
crypto,1,1,0,10,5648579,144836554,1
crypto,1,1,0,10,26700526,24638512,1
crypto,1,1,0,10,8795794,89981819,1
crypto,1,1,0,10,8784594,101596942,1
crypto,1,1,0,10,5495859,74401312,1
crypto,1,1,0,10,4742640,44099158,0
crypto,1,1,0,10,3476918,39211089,0
crypto,1,1,0,10,4498484,121060301,0
crypto,1,1,0,10,6574839,6180346,1
crypto,1,1,0,10,5494328,117512147,1
crypto,1,1,0,10,5685794,85637306,1
crypto,1,1,0,10,8901972,39422634,1
crypto,1,1,0,10,6254131,15526609,1
crypto,1,1,0,10,6574748,97637310,1
crypto,1,0,1,10,7859488,132000900,1
crypto,1,0,0,10,5643284,120434008,1
crypto,1,0,0,10,4364758,47504412,1
crypto,1,1,0,10,4364586,70579524,1
crypto,1,1,0,10,27095360,50285490,1
crypto,1,1,0,10,4104349,112462886,1
crypto,1,1,0,10,7547084,70141950,1
crypto,1,1,0,10,6756493,31110982,1
crypto,1,1,0,10,6579294,89425397,1
crypto,1,1,0,10,32706725,111285236,1
crypto,1,1,0,8,1018265,24110540,1
crypto,1,1,0,10,5133551,53137850,1
crypto,1,1,0,10,3475479,47759385,1
crypto,1,1,0,10,5483948,66658180,0
crypto,1,1,0,10,4593894,41399131,0
crypto,1,1,0,10,6336149,119558347,0
crypto,1,0,0,10,5568786,65591751,1
crypto,1,0,0,10,3458485,72885789,1
crypto,1,0,0,10,12465464,103942276,1
crypto,1,1,1,9,8574934,47265953,1
crypto,1,1,1,9,6574937,32925546,1
crypto,1,0,0,9,1544542,37754955,1
crypto,1,0,1,9,10786507,8048752,1
crypto,1,0,0,9,4563895,7988874,0
crypto,1,1,0,9,4536548,17062419,0
crypto,1,1,0,9,4241176,79483082,1
crypto,1,1,0,9,6574394,56472166,1
crypto,1,1,0,9,3586976,27280796,1
crypto,1,1,0,9,3675174,93506133,1
crypto,1,1,1,9,4738759,59299895,1
crypto,1,1,1,9,7555076,74339860,1
crypto,1,1,1,9,12351237,48841341,1
crypto,1,1,1,9,2787363,88421362,1
crypto,1,1,1,10,3475595,73374467,1
crypto,1,1,0,10,6178803,88651693,1
crypto,1,1,0,10,12573189,24917224,1
crypto,1,0,0,10,3623695,22579287,0
crypto,1,1,0,10,3917351,101334293,0
crypto,1,1,0,9,4374847,42667213,0
crypto,1,1,0,9,4537584,28687744,0
crypto,1,1,0,9,6579473,47103934,0
crypto,1,1,0,9,9433596,71226711,0
crypto,1,1,0,9,4537264,81515939,1
crypto,1,1,0,9,3475847,96605324,1
crypto,1,0,0,10,5283320,64473775,1
crypto,1,1,0,10,4364847,79711337,1
crypto,1,1,0,10,5411723,93483503,1
crypto,1,1,0,10,5463847,1888798,1
crypto,1,0,0,10,3457499,41548746,1
crypto,1,1,0,10,9757456,9992217,0
crypto,1,0,0,10,3595237,97652501,0
crypto,1,0,0,8,5279240,3340709,0
crypto,1,0,0,8,3077374,76124290,1
crypto,1,0,1,8,5438478,19300180,0
crypto,1,0,1,8,3458746,2761501,0
crypto,1,1,0,8,3198674,10539824,0
crypto,1,1,0,8,7372638,53401763,1
crypto,1,1,0,8,4658938,48443786,1
crypto,1,1,0,8,6781543,13986465,1
crypto,1,1,0,8,6848547,102246152,1
crypto,1,1,0,8,4759375,12503132,1
crypto,1,1,0,8,6678604,18654339,1
crypto,1,1,0,8,4325521,59061353,1
crypto,1,1,0,8,4658475,56204401,1
crypto,1,1,0,8,7485749,69002664,1
crypto,1,0,0,8,9565630,6467813,1
crypto,1,0,0,8,5365630,66864596,1
crypto,1,0,1,8,3546578,29170142,0
crypto,1,0,1,8,9758558,4413628,0
crypto,1,0,0,8,2382311,43210472,0
crypto,1,0,0,8,2079094,67937580,0
crypto,1,0,1,8,2648758,68168577,1
crypto,1,0,0,8,3548377,17046365,0
crypto,1,0,0,8,3632372,4519789,0
crypto,1,0,0,8,3465856,44363380,0
crypto,1,0,0,8,3938746,66997205,1
crypto,1,0,1,8,2632370,45259556,1
crypto,1,0,0,8,3217764,36761813,1
crypto,1,1,1,8,3475488,52927262,1
crypto,1,0,0,8,3466574,66310546,1
crypto,1,1,1,8,4387487,49015150,1
crypto,1,0,0,8,3049952,23018932,1
crypto,1,0,0,8,2829247,20954100,1
crypto,1,0,0,8,2939489,2655624,1
crypto,1,0,1,8,9233233,8658186,1
crypto,1,0,0,8,12343929,61275426,1
crypto,1,0,0,8,2072627,47045852,1
crypto,1,0,0,8,6474637,39978747,1
crypto,1,0,0,8,5113854,67110954,1
crypto,1,0,1,8,13963092,9579532,1
crypto,1,0,0,8,8479379,51400011,1
crypto,1,0,0,8,10967544,40240202,1
crypto,1,0,0,8,3151282,22692955,1
crypto,1,0,0,8,4574679,47378089,1
crypto,1,0,1,8,3634684,53915141,1
crypto,1,0,0,8,5645836,27619021,1
crypto,1,1,1,8,6764846,63056470,1
crypto,1,0,0,8,9286157,10743549,1
crypto,1,0,0,8,6658618,3971072,1
crypto,1,0,1,8,5483787,4041705,1
crypto,1,0,0,8,19163733,48262100,1
crypto,1,0,0,7,1065166,13042913,1
crypto,1,0,0,7,9439135,17608973,1
crypto,1,0,1,7,20762670,25626798,1
crypto,1,0,0,7,5824197,43409494,1
crypto,1,0,0,7,2338188,64734380,1
crypto,1,0,0,7,2981564,68830511,1
crypto,1,0,1,7,5648378,68701471,0
crypto,1,0,0,7,6473687,75648001,0
crypto,1,0,0,7,4769763,74199199,0
crypto,1,0,0,7,6605542,35125675,0
crypto,1,1,1,7,6488738,48897880,0
crypto,1,0,0,7,6638748,22888567,0
crypto,1,0,0,7,8357228,46966858,1
crypto,1,0,1,7,3464574,53942690,1
crypto,1,0,0,7,4637847,74479991,1
crypto,1,0,0,7,3453764,18889491,1
crypto,1,0,1,7,3901837,9699260,1
crypto,1,0,0,7,3547297,58437522,1
crypto,1,0,0,7,5463597,10171780,1
crypto,1,0,0,7,2374638,24054510,1
crypto,1,0,1,7,3638151,74454517,1
crypto,1,0,0,7,4204351,17903519,0
crypto,1,0,0,7,2670946,52697641,1
crypto,1,0,1,7,2354846,56819940,0
crypto,1,0,0,7,3454487,21451515,1
crypto,1,0,0,7,5461275,24206340,0
crypto,1,0,1,7,2347648,38113460,1
crypto,1,0,0,7,8781289,29795810,1
crypto,1,0,0,7,9405044,22719512,1
crypto,1,1,1,7,4354847,26975262,1
crypto,1,1,0,7,2684648,77588476,0
crypto,1,1,0,7,6564081,63623675,1
crypto,1,1,0,7,4499029,75745815,1
crypto,1,1,0,7,4537464,50379623,0
crypto,1,1,0,7,4537467,65302868,1
crypto,1,1,0,7,4858049,28272684,1
crypto,1,1,0,7,3478386,62431935,1
crypto,1,1,0,7,3547487,63066804,1
crypto,1,1,0,7,12592212,23904051,1
crypto,1,1,0,7,6874676,50644919,1
crypto,1,1,0,7,9582171,5117307,1
crypto,1,1,0,7,6564876,10304788,1
crypto,1,1,0,7,9238531,66718015,1
crypto,1,1,0,7,6376467,77319999,1
crypto,1,1,0,7,4987648,77462828,0
crypto,1,1,0,7,4563874,49598502,1
crypto,1,1,0,7,7684686,16599899,0
crypto,1,0,0,7,5644684,34837097,0
crypto,1,0,1,7,7497466,6403887,0
crypto,1,0,0,7,5645838,36434462,1
crypto,1,0,0,7,4097420,34430120,1
crypto,1,0,1,7,8451614,62890242,1
crypto,1,0,0,7,5603684,69184466,1
crypto,1,0,0,7,6746357,20053229,1
crypto,1,1,0,7,14687142,22018945,1
crypto,1,1,0,7,5846847,58999747,1
crypto,1,1,0,7,4024815,370077,1
crypto,1,1,0,7,6488447,22653227,1
crypto,1,1,0,7,3574687,18373273,1
crypto,1,1,0,7,5463876,5819005,0
crypto,1,1,0,7,32632513,69807959,0
crypto,1,1,0,7,3116680,73693175,0
crypto,1,1,0,7,4536746,5304748,0
